Artist,Number of Searches
WYO,12900000
Mondo Cozmo,199000
J. Roddy Walston & The Business,326000
LP,1410000000
Kings of Leon,46400000
Kaleo,3920000
Liam Gallagher,21400000
Frightened Rabbit,6560000
Aaron Taos,926000
Bruno Martini,23600000
Salon Acapulco,6380000
Ariana Grande,262000000
Bad Bunny,194000000
DJ Snake,142000000
The Chemical Brothers,73400000
Ariana Grande,262000000
Jonas Blue,309000000
Shawn Mendes,109000000
6ix9ine,20600000
Kanye West,136000000
Christine and the Queens,28500000
Sabrina Carpenter,53700000
Alesso,8510000
Marshmello,82500000
Vladimir Cauchemar,614000
The Black Eyed Peas,31700000
6ix9ine,20600000
Nick Jonas,139000000
Calvin Harris,91300000
Justice,1600000000
Trippie Redd,7980000
6ix9ine,20600000
5 Seconds of Summer,296000000
Imagine Dragons,92000000
Logic,651000000
Gryffin,2280000
Tom & Collins,2580000000
Zedd,20500000
Drake,357000000
Jonas Blue,309000000
MC Fioti,1850000
Karol G,107000000
Nicki Minaj,119000000
Drake,357000000
Khalid,403000000
DJ Khaled,39000000
Sia,675000000
Danny Avila,9440000
Logic,651000000
MC Fioti,1850000
Drake,331000000
Diplo,38800000
DJ Snake,142000000
ALMA,590000000
Jax Jones,19100000
Zedd,20500000
Niska,24100000
Sean Paul,461000000
The Weeknd,55100000
Felix Jaehn,3010000
Justin Bieber,219000000
Thirty Seconds To Mars,11000000
Alex Sensation,60500000
Bruno Martini,23600000
Axwell /\ Ingrosso,5310000
Calum Scott,12800000
Diplo,38800000
Liam Payne,38500000
Nacho,169000000
Martin Garrix,23200000
The Chainsmokers,29800000
Silk City,459000000
Calvin Harris,91300000
Au/Ra,1790000000
P!nk,442000000
Sigala,9920000
Rak-Su,37200000
Tom Walker,288000000
Captain Cuts,67600000
Martin Garrix,23200000
B Young,3820000000
Sigala,9920000
Khalid,403000000
Calvin Harris,91300000
ZAYN,75200000
Olly Murs,9100000
Too Many Zooz,495000
MK,1210000000
Dynoro,6110000
Steve Angello,3410000
Just Kiddin,3660000
The Chainsmokers,24400000
Zara Larsson,19100000
MK,1210000000
Marshmello,82500000
BURNS,880000000
George Ezra,40000000
One Bit,3020000000
Boston Bun,42500000
EO,525000000
CLiQ,6200000
Izzy Bizu,1170000
Martin Garrix,23200000
Alex Ross,199000000
Zara Larsson,19100000
ZieZie,570000
Major Lazer,37600000
MØ,8210000
John Legend,588000000
Amelia Monét,420000
Maroon 5,2910000000
Flo Rida,1770000000
Nevada,359000000
Steve Britton,23700000
DJ Snake,142000000
Imani Williams,6470000
Avicii,38800000
99 Souls,62100000
Snakehips,1280000
Illenium,3750000
Kasbo,589000
Ekali,1480000
DJ Koze,1750000
Seven Lions,71600000
Flux Pavilion,4000000
Elias,245000000
ODESZA,2620000
Illenium,3750000
CAZZETTE,check
RÜFÜS DU SOL,969000
Flight Facilities,245000000
Hilda,70600000
Kasbo,589000
Band of Horses,79400000
Kaskade,5660000
Sonny Side Up,23700000
MK,1210000000
The Chainsmokers,24400000
Clean Bandit,30600000
RL Grime,check
Armin van Buuren,19500000
Gryffin,2280000
StayLoose,532000
Big Pineapple,193000000
Swardy,36300
Prince Woods,117000000
KREAM,7180000
Funkin Matt,294000
Ed Sheeran,124000000
Steve Angello,3410000
Kygo,14500000
Felix Cartal,859000
Bob Moses,30600000
Alesso,8510000
Band of Horses,79400000
Cash Cash,2100000000
Illenium,3750000
ARTY,46600000
Armin van Buuren,19500000
Robyn,90600000
CHVRCHES,13600000
MORTEN,42200000
Illenium,3750000
Matisse & Sadko,62600000
Shallou,368000
Lookas,1060000
JAJO,3910000
Above & Beyond,3310000000
Chicane,8540000
Halsey,105000000
Syn Cole,7940000
Illenium,3750000
RÜFÜS DU SOL,1080000
Dash Berlin,32800000
Said the Sky,1650000000
Son Of 8,6750000000
pig,687000000
Johnny Goth,17700000
mxmtoon,369000
Xfruge,22000
spookyghostboy,240000
dodie,8350000
Conan Gray,84500000
beabadoobee,381000
Hovvdy,187000
Jye,6150000
Fox Academy,259000000
American Pleasure Club,160000000
Laila,76000000
mxmtoon,369000
Tyler Burkhart,928000
Ambar Lucid,95600
Cavetown,1310000
chloe moriondo,340000
beabadoobee,381000
Mimi,202000000
Bright Eyes,493000000
dandelion hands,25100000
mxmtoon,369000
Timmies,573000
Fox Academy,259000000
Yo La Tengo,429000000
Rusty Clanton,214000
tiffi,3900000
Flatsound,305000
Florist,159000000
Fox Academy,259000000
beabadoobee,381000
Hovvdy,187000
Richie Woods,17700000
Cyberbully Mom Club,170000
dandelion hands,25100000
Emily Yacina,15700
Flatsound,310000
Girlpool,1500000
Starry Cat,25000000
dandelion hands,25100000
Ollie MN,1900000
Mathew Lee Cothran,126000
Cyberbully Mom Club,170000
olli,46400000
Timmies,573000
Free Cake For Every Creature,20500000
tiffi,3900000
Ambar Lucid,95600
Mimi,184000000
Celia Cruz,33200000
Rubén Blades,3450000
Héctor Lavoe,888000
David Pabon,3330000
Musinova,25800
El Gran Combo De Puerto Rico,3560000
Richie Ray & Bobby Cruz,45900000
Celia Cruz,33200000
Rubén Blades,3450000
Willie Colón,1480000
Ricardo Ray,47500000
Nino Segarra,383000
Héctor Lavoe,888000
"Pete ""El Conde"" Rodriguez",120000
Rubén Blades,3450000
Richie Ray,42600000
El Gran Combo De Puerto Rico,3560000
Buena Vista Social Club,36300000
Rubén Blades,3450000
"Pete ""El Conde"" Rodriguez",120000
Ismael Rivera,12200000
Larry Harlow,6570000
Tito Rodriguez,16100000
Rubén Blades,3450000
Héctor Lavoe,888000
Larry Harlow,6570000
Joe Cuba Sextet,668000
Eddie Palmieri,1810000
El Gran Combo De Puerto Rico,3560000
Eddie Palmieri,1810000
Eddie Palmieri,1810000
Ismael Rivera,12200000
Tito Rodriguez,16100000
Rubén Blades,3450000
Tito Rodriguez,16100000
Oscar D'León,110000000
Tito Puente,13100000
Celia Cruz,33200000
Joe Cuba,65600000
Cheo Feliciano,1120000
Alex Leon y Su Orquesta,2590000
Bobby Valentin,9170000
Cano Estremera,475000
Héctor Lavoe,888000
"Jose Alberto ""El Canario""",1080000
Lalo Rodriguez,7010000
Louie Ramirez,3740000
Oscar D'León,110000000
Sonora Ponceña,366000
Celia Cruz,33200000
Gilberto Santa Rosa,19300000
Rey Ruiz,46200000
Tito Rojas,9600000
Viti Ruiz,578000
Maelo Ruiz,1200000
INDIA,7190000000
Frankie Ruiz,11100000
Jerry Rivera,60300000
Marc Anthony,check
Tony Vega,33000000
Paquito Guzman,329000
Nino Segarra,383000
Luis Enrique,198000000
Puerto Rican Power,13600000
Johnny Rivera,40000000
Víctor Manuelle,1270000
El Gran Combo De Puerto Rico,3560000
Adolescent's Orquesta,57500
Brenda K. Starr,10400000
Pochi Y Su Cocoband,82200
Adolescent's Orquesta,57500
Tito Nieves,4760000
Jerry Rivera,60300000
Los Titanes,50700000
Víctor Manuelle,1270000
Guayacán Orquesta,196000
D.L.G.,13200000
Tito Gomez,12000000
Johnny Rivera,87100000
Grupo Niche,7330000
Oscar D'León,110000000
David Pabon,3160000
Tony Vega,33000000
Raulin Rosendo,122000
Willie Gonzalez,10800000
Rubén Blades,3450000
Hector Tricoche,127000
D.L.G.,13200000
Grupo Niche,7330000
Celia Cruz,33200000
Willie Rosario,7380000
"Jose Alberto ""El Canario""",1080000
Guayacán Orquesta,196000
Jerry Rivera,60300000
Orlando Collado,6210000
Andy Montañez,939000
Anthony Cruz,109000000
Nelson Y Sus Estrellas,7830000
Pochi Y Su Cocoband,82200
ChiChi Peralta,566000
Larry Harlow,6570000
El Gran Combo De Puerto Rico,3560000
Frankie Negrón,636000
Oscar D'León,110000000
ChiChi Peralta,566000
Huey Dunbar,586000
Grupo Niche,7330000
Eddie Palmieri,1810000
Frankie Negrón,636000
INDIA,7190000000
El Gran Combo De Puerto Rico,3560000
Tito Gomez,12000000
Conjunto Clásico,59700000
Rey Ruiz,46200000
Conjunto Clásico,59700000
Moncho Santana,336000
Grupo Cañaveral De Humberto Pabón,177000
Nelson Y Sus Estrellas,7830000
Afro-Cuban All Stars,3910000
Juan Formell y Los Van Van,278000
Buena Vista Social Club,36300000
Nelson Y Sus Estrellas,7830000
Willie Rosario,7380000
Orquesta Aragón,3230000
Anfa Rose,310000
Belly,432000000
Belly,432000000
Belly,432000000
Massari,9280000
Bazzi,14600000
Bombay Jayashri,323000
Descemer Bueno,3440000
French Montana,207000000
Jarami,229000
Frank Ocean,197000000
Belly,432000000
Drake,357000000
Mohammad Assaf,1810000
Melissa,650000000
Akon,30700000
Super Sako,9020000
French Montana,check
Zack Knight,20200000
Marshmello,73500000
Shakira,103000000
OLGA TANON and HAKIM,18500
Faydee,1990000
Becky G,109000000
RedOne,34400000
Balti,36300000
Massari,9280000
Alvaro Soler,11000000
Jason Derulo,17500000
Massari,9280000
جريني,243000
Macklemore,17100000
Silva Gunbardhi,495000
Khaled,125000000
Fatih Bogalar,244000
Ragheb Alama,1790000
Alabina,657000
RedOne,34400000
Belly,432000000
Why Don't We,4990000000
Cash Cash,2100000000
Massari,9280000
Badshah,25400000
Maître Gims,11700000
Shakira,102000000
Nordine,2300000
Magic System,1010000000
DJ Hamida,1150000
OGB,3160000
R3HAB,6210000
Mohamed Hamaki,1050000
A Tribe Called Red,94400000
DJ Khaled,38900000
Ghostface Killah,6280000
Eminem,117000000
Cypress Hill,56500000
Ana Tijoux,594000
Hakim,123000000
Alabina,check
Mashrou' Leila,375000
Nafees,2490000
Le Trio Joubran,check
Ella Mai,87200000
Quavo,14600000
Post Malone,133000000
Wiz Khalifa,51700000
Bad Bunny,194000000
Khalid,125000000
Gucci Mane,41000000
Ella Mai,87200000
Tyga,31100000
Lil Wayne,95900000
Young Thug,75400000
Zoey Dollaz,378000
Travis Scott,218000000
Lil Mosey,1770000
6LACK,9380000
Anderson .Paak,6290000
Logic,651000000
Quavo,14600000
A Boogie Wit da Hoodie,7080000
T.I.,2680000000
K CAMP,1100000000
Lupe Fiasco,5820000
Wale,97600000
MihTy,124000
Lil Mosey,1770000
Masego,1520000
Bas,876000000
DaVido,23500000
KEY,6940000000
Usher,89800000
Jay Rock,391000000
BROCKHAMPTON,2760000
Breakfast n Vegas,74700000
Lil Wayne,95900000
Nicki Minaj,119000000
Meek Mill,53600000
Cardi B,208000000
6LACK,9380000
Young Thug,75400000
Tyga,31100000
Tinashe,10900000
YBN Cordae,978000
Juicy J,107000000
Russ,99200000
6ix9ine,20600000
KYLE,345000000
Fabolous,7050000
GASHI,13300000
KYLE,345000000
Buddy,497000000
Russ,99200000
Philthy Rich,986000
Tory Lanez,13800000
Amber Mark,429000000
Trey Songz,12600000
Lil Duval,7640000
Kid Ink,380000000
T-Pain,1210000000
G-Eazy,31600000
Tyga,31100000
24hrs,95500000
Diplo,38700000
PnB Rock,11300000
Tory Lanez,13800000
Ella Mai,87200000
Post Malone,133000000
DJ Durel,218000
Post Malone,133000000
IAMNOBODI,120000
Childish Gambino,19500000
Mac Miller,129000000
Nicki Minaj,119000000
Rae Sremmurd,11700000
HoodCelebrityy,check
Ljay Currie,47100
Phony Ppl,901000
Drake,357000000
"Tyler, The Creator", The Creator
Nicki Minaj,119000000
The Carters,33500000
Drake,357000000
Quavo,14600000
2 Chainz,23100000
Russ,99200000
Russ,99200000
Wiz Khalifa,51700000
Stefflon Don,4940000
Global Dan,1320000000
Tory Lanez,13800000
MihTy,124000
TK Kravitz,746000
BROCKHAMPTON,2760000
Casanova,85500000
Bas,876000000
Buddy,497000000
GoldLink,3660000
A Boogie Wit da Hoodie,7080000
G-Eazy,31600000
Tory Lanez,13800000
Jessie J,112000000
Jeremih,7510000
Chris Brown,1040000000
Sia,675000000
Lecrae,6540000
Beyoncé,236000000
ScHoolboy Q,20200000
T.I.,2690000000
Fifth Harmony,66500000
M.I.A.,1200000000
RJ Word,196000000
Krewella,8270000
Gareth Emery,6810000
Dimitri Vegas & Like Mike,11100000
Thomas Gold,687000000
Steve Aoki,27900000
Alan Walker,178000000
Sash!,119000000
Dzeko & Torres,11600000
DVBBS,3310000
Tiësto,24700000
Tove Lo,14200000
Axwell /\ Ingrosso,4990000
MAKJ,1090000
Sebastian Ingrosso,3120000
Alesso,8510000
Jax Jones,19100000
Tiësto,24700000
Sebastian Ingrosso,3120000
Borgeous,1900000
R3HAB,6210000
Hardwell,12300000
The Chainsmokers,24400000
Krewella,8270000
Hardwell,12300000
Axwell /\ Ingrosso,4990000
R3HAB,6210000
Rain Man,1360000000
Eric Prydz,2690000
MAKJ,1090000
Eric Prydz,2690000
Dash Berlin,32800000
Scotty,146000000
Calvin Harris,91200000
Scotty,146000000
Lost Frequencies,63300000
W&W,18180000000
Sound Of Legend,311000000
Carta,1010000000
Dynoro,6110000
Jack Taylor,400000000
Syzz,260000
R3HAB,6210000
Cosmik,761000
DJ Snake,142000000
Play-N-Skillz,2600000
Enrique Iglesias,66100000
Yellow Claw,168000000
dEVOLVE,33100000
DJ Willie,20600000
Milky Chance,23300000
311,798000000
Cisco Adler,3700000
The Palms,949000000
Prelow,281000
Two Door Cinema Club,56300000
AJR,12400000
Rebelution,1640000
Grouplove,2070000
Weezer,21500000
Tash Sultana,4670000
Coast Modern,1020000000
Just Loud,368000000
Dirty Heads,150000000
Twenty One Pilots,61700000
Portugal. The Man,1280000000
Vance Joy,17900000
NoMBe,635000
Dirty Heads,150000000
The Front Bottoms,112000000
Glass Animals,649000000
Lewis Del Mar,55300000
Luke Mitrani,154000
courtship.,32500000
The Knocks,48200000
Lil Peep,32900000
COIN,1840000000
Overstreet,13500000
Foster The People,404000000
Sugar Ray,217000000
AJR,12400000
lovelytheband,2820000
Pepper,709000000
Prelow,281000
Dirty Heads,150000000
Stick Figure,451000000
blink-182,28400000
Late Night Episode,292000000
Eels,115000000
Seaway,8820000
MAGIC GIANT,295000000
Bad Sounds,663000000
Milky Chance,27800000
Goldfinger,9660000
Rebelution,1640000
Empire of the Sun,245000000
Bay Ledges,3540000
Kings of Leon,46400000
Sublime,189000000
Twenty One Pilots,61700000
Milky Chance,27800000
Glass Animals,649000000
Smallpools,2760000
Dirty Heads,150000000
Coast Modern,1020000000
Red Hot Chili Peppers,147000000
Dirty Heads,check
Day Wave,1050000000
Glass Animals,649000000
Milky Chance,23300000
*repeat repeat,419000000
Fitz and The Tantrums,6950000
MAGIC GIANT,295000000
Coast Modern,1020000000
Red Hot Chili Peppers,147000000
MAGIC!,2560000000
Dirty Heads,150000000
Coast Modern,1020000000
Weezer,21500000
Fitz and The Tantrums,6950000
Milky Chance,23300000
DREAMERS,142000000
Katastro,615000
George Baker Selection,39500000
POP ETC,700000000
Gentlemen Hall,39700000
Edward Sharpe & The Magnetic Zeros,12200000
Dispatch,202000000
Counting Crows,6640000
Third Eye Blind,93700000
The Knocks,48200000
Cage The Elephant,53000000
Foster The People,404000000
Waters,9990000000
Grouplove,2070000
Aer,101000000
New Beat Fund,131000000
Shwayze,376000
Incubus,17700000
Sublime,189000000
311,798000000
INXS,9960000
The Kooks,5740000
Passion Pit,44600000
Grouplove,2070000
Sublime With Rome,16900000
Citizen Cope,68100000
Rusted Root,3490000
Violent Femmes,26700000
Dirty Heads,150000000
Imagine Dragons,92000000
John Mayer,141000000
Lauren Daigle,20700000
OneRepublic,17700000
lovelytheband,2820000
Jason Mraz,15500000
Sam Smith,529000000
Shawn Mendes,114000000
Avril Lavigne,48500000
Passenger,895000000
Snow Patrol,95600000
Ed Sheeran,124000000
Adele,187000000
Julia Michaels,52200000
Sam Smith,529000000
Paul McCartney,152000000
Lukas Graham,19800000
Jason Mraz,15500000
James Arthur,516000000
Mumford & Sons,27400000
P!nk,442000000
Rihanna,194000000
Saint Claire,198000000
John Legend,588000000
Weezer,21500000
Paul McCartney,152000000
Noah Kahan,953000
Lady Gaga,306000000
for KING & COUNTRY,3910000000
Sam Smith,529000000
A Great Big World,5710000000
Ed Sheeran,124000000
MAX,5670000000
Bruno Mars,165000000
Coldplay,62400000
Michael Bublé,10100000
Brynn Elliott,1300000
Phil Wickham,3520000
Meghan Trainor,20700000
Tauren Wells,413000
Shawn Mendes,114000000
A Great Big World,5710000000
Maggie Rogers,32800000
Rita Ora,106000000
Fitz and The Tantrums,6950000
Ocean Park Standoff,2280000
OneRepublic,17700000
Ed Sheeran,113000000
Andra Day,49300000
Calum Scott,12800000
King Princess,378000000
Armin van Buuren,19500000
The Script,1070000000
Ben Rector,12800000
Barbra Streisand,18800000
Josh Groban,11100000
Adele,187000000
Justin Bieber,218000000
The Revivalists,1580000
Bebe Rexha,26600000
13 Crowns,87200000
Paloma Faith,18900000
Dennis Lloyd,47400000
Lewis Capaldi,12100000
X Ambassadors,60500000
Wiz Khalifa,51700000
Ed Sheeran,124000000
Norah Jones,33500000
Coldplay,62400000
ASHLEE + EVAN,7180000
Adele,187000000
George Ezra,40000000
Svrcina,304000
Kodaline,3400000
Ed Sheeran,124000000
The Gray Havens,18500000
Alessia Cara,20700000
Charlie Puth,24500000
Snow Patrol,95500000
Michael W. Smith,734000000
Apollo LTD,52700000
Judah & the Lion,27700000
Matt Nathanson,1430000
James Bay,934000000
Basic Tape,353000000
Taylor Swift,336000000
Joel Adams,71100000
EZI,9860000
Robinson,496000000
TWENTYSOMETHING,6800000
One Direction,1520000000
Hozier,20600000
James Blunt,113000000
morgxn,467000
P!nk,442000000
Nick Howard,134000000
Dean Lewis,156000000
AJR,12400000
Ruth B.,359000000
Alice Pisano,1810000
Adele,187000000
Hozier,20600000
Beyoncé,236000000
Jason Mraz,16300000
Lorde,25100000
John Legend,588000000
Sia,676000000
OneRepublic,17700000
Ed Sheeran,124000000
Alessia Cara,20700000
Dua Lipa,65800000
Camila Cabello,56400000
Ed Sheeran,124000000
Gnarls Barkley,2590000
P!nk,442000000
MAGIC!,2340000000
OMI,45500000
The Chainsmokers,24400000
Passenger,895000000
Imagine Dragons,92000000
The Lumineers,6810000
Shakira,103000000
Sam Smith,529000000
Demi Lovato,91600000
Red Hot Chili Peppers,130000000
Adele,187000000
Vance Joy,17900000
Ariana Grande,262000000
Luis Fonsi,33300000
Jessie J,112000000
Mark Ronson,22500000
Katy Perry,162000000
Hailee Steinfeld,19300000
Dean Lewis,156000000
benny blanco,23300000
Bastille,67000000
Fifth Harmony,66500000
WALK THE MOON,321000000
Avicii,39700000
American Authors,790000000
Drake,357000000
Charli XCX,18500000
Imagine Dragons,92000000
James Bay,934000000
Imagine Dragons,92000000
Robin Thicke,9670000
Vance Joy,22600000
Nicki Minaj,119000000
Niall Horan,27800000
Aloe Blacc,8570000
Zedd,20500000
Justin Timberlake,96300000
George Ezra,40000000
Taylor Swift,336000000
The Fray,77900000
Mumford & Sons,check
Leona Lewis,26300000
Lord Huron,7050000
Miley Cyrus,169000000
Incubus,17700000
Demi Lovato,80800000
No Doubt,522000000
Lauv,7690000
Drake,357000000
Harry Styles,207000000
Ariana Grande,262000000
The Weeknd,55100000
Logic,651000000
Bruno Mars,165000000
Ed Sheeran,124000000
John Mayer,141000000
DJ Snake,142000000
Drake,332000000
Sam Hunt,161000000
Adele,187000000
Coldplay,62400000
Lady Gaga,306000000
Maroon 5,2910000000
Keane,31400000
Little Mix,1720000000
Bebe Rexha,26600000
Alicia Keys,69700000
Kygo,14500000
Gavin DeGraw,2230000
Augustana,5120000
James Blunt,113000000
Beyoncé,236000000
Vanessa Carlton,12000000
Green Day,12440000000
The Head and the Heart,2670000000
Rihanna,194000000
"Earth, Wind & Fire", Wind & Fire
Ben E. King,511000000
Whitney Houston,86800000
Katrina & The Waves,212000000
Kenny Loggins,5630000
Gnarls Barkley,2590000
Journey,1360000000
Billy Joel,112000000
Toploader,9890000
Elton John,86600000
Dolly Parton,31700000
The Beatles,160000000
Gloria Gaynor,10700000
Queen,2510000000
Daryl Hall & John Oates,26900000
Sister Sledge,8610000
Eurythmics,8590000
Backstreet Boys,32600000
WALK THE MOON,321000000
a-ha,5060000000
Cher,638000000
Whitney Houston,86800000
Smash Mouth,66800000
Maroon 5,2910000000
Van Halen,106000000
Madonna,218000000
Michael Jackson,994000000
Madonna,218000000
Ed Sheeran,124000000
The Proclaimers,1250000
Phil Collins,99200000
Rihanna,194000000
The Beatles,172000000
The Clash,278000000
OutKast,11500000
Dexys Midnight Runners,522000
Tom Jones,570000000
Beyoncé,236000000
Train,2190000000
The Killers,104000000
Paul Simon,625000000
Shakira,103000000
Jason Mraz,15500000
Katy Perry,162000000
Billy Joel,112000000
Adele,187000000
Irene Cara,33800000
Elle King,152000000
CeeLo Green,5100000
Avicii,39800000
Spice Girls,231000000
Hot Chocolate,1320000000
Katy Perry,182000000
Bruno Mars,165000000
Britney Spears,166000000
Coldplay,62400000
Taylor Swift,336000000
Michael Jackson,994000000
Mark Ronson,22500000
Toto,1220000000
Bee Gees,25500000
Bon Jovi,49900000
Tina Turner,79400000
Rupert Holmes,14400000
Amy Winehouse,29500000
Carly Rae Jepsen,18400000
Justin Bieber,218000000
The Beatles,172000000
Cher,638000000
Plain White T's,7760000
Justin Timberlake,check
Oasis,313000000
Beyoncé,236000000
Vanessa Carlton,12000000
Becky G,109000000
The Beatles,172000000
fun.,6860000000
Edward Sharpe & The Magnetic Zeros,12200000
Diana Ross,136000000
Chantae Cann,75200
Kenny Loggins,5630000
Patrick Paige II,11700000
Jessie J,112000000
Donny Hathaway,2560000
Amber Mark,429000000
Stevie Wonder,72200000
D'Angelo,329000000
Frank Ocean,197000000
Sade,91300000
Lalah Hathaway,864000
Solange,121000000
Musiq Soulchild,1720000
Tamia,7120000
Leon Bridges,23900000
The New Birth,972000000
Ledisi,996000
Anthony Hamilton,94600000
Charles Bradley,117000000
Victory,830000000
Emily King,285000000
YEBBA,438000
Daniel Caesar,75000000
PJ Morton,13600000
Jill Scott,97800000
Tamia,7120000
Miguel,949000000
PJ Morton,13600000
Jade Novah,267000
Allen Stone,268000000
Michael Jackson,804000000
Kirk Whalum,646000
Ledisi,996000
Leon Bridges,23900000
Mali Music,208000000
Esperanza Spalding,4030000
The PLAYlist,2040000000
Raveena,11800000
George Benson,72100000
Tim Bowman Jr.,11900000
Marcus Miller,78400000
Leslie Odom Jr.,4950000
Amy Winehouse,29500000
Farnell Newton,306000
Luke James,339000000
Marsha Ambrosius,976000
Deva Mahal,1670000
Moonchild,8650000
Frank Ocean,197000000
Brandon Banks,17900000
Erykah Badu,5800000
The Stylistics,3640000
Joji,9760000
"Earth, Wind & Fire", Wind & Fire
Kindred The Family Soul,13900000
MAJOR.,3120000000
Raul Midon,223000
Lalah Hathaway,864000
Isaac Hayes,21200000
Eric Roberson,6500000
Raphael Saadiq,832000
Meg Mac,36700000
The Roots,1210000000
OutKast,11500000
Avery*Sunshine,13700000
Rahsaan Patterson,344000
Rufus Featuring Chaka Khan,279000
India.Arie,13200000
Bilal,88100000
Borgore,2000000
Gary Clark Jr.,58300000
Mary J. Blige,10700000
Yahzarah,76700
The Internet,6660000000
Timothy Bloom,16900000
Tess Henley,962000
Alina Baraz,944000
Toulouse,222000000
Maxwell,164000000
Amel Larrieux,243000
Sophia Bastian,3700000
Roberta Flack,5150000
Incognito,43700000
Beyoncé,236000000
Ed Sheeran,124000000
Flo Rida,1770000000
DJ Snake,142000000
Calvin Harris,91200000
Bastille,67000000
Timeflies,17900000
Maroon 5,2910000000
Duck Sauce,159000000
Tiësto,24700000
OMI,45500000
David Guetta,42600000
Avicii,39800000
Faul & Wad Ad,20200000
Kiesza,2160000
The Chainsmokers,24400000
Clean Bandit,30600000
Calvin Harris,91200000
Fall Out Boy,1250000000
French Horn Rebellion,4280000
Disclosure,400000000
Hardwell,12300000
Shakira,103000000
Alex Metric,15800000
Pharrell Williams,63200000
Jason Derulo,17500000
Tiësto,24700000
Skrillex,22500000
Katy Perry,162000000
5 Seconds of Summer,296000000
Britney Spears,171000000
The 1975,914000000
Justin Bieber,218000000
Maroon 5,2910000000
Kelly Clarkson,68000000
Pitbull,130000000
Avicii,39800000
WALK THE MOON,321000000
Jason Derulo,17500000
Major Lazer,37600000
Katy Perry,162000000
Zedd,20500000
Justin Timberlake,96300000
Bruno Mars,165000000
Flo Rida,1780000000
Beyoncé,240000000
Kesha,21600000
Ariana Grande,262000000
Timbaland,9330000
Deorro,3670000
Avicii,40300000
Zedd,20500000
Ariana Grande,262000000
Fergie,30000000
Meghan Trainor,20700000
OneRepublic,17600000
Pharrell Williams,63200000
Pitbull,130000000
Hunter Hayes,38300000
Sheck Wes,3700000
Flipp Dinero,871000
A$AP Rocky,64200000
French Montana,206000000
Jimi Tents,1240000
Pardison Fontaine,814000
Swizz Beatz,4890000
Wale,99600000
Lil Uzi Vert,26200000
SAINt JHN,579000
A Boogie Wit da Hoodie,7080000
Young M.A,1520000000
Nicki Minaj,119000000
Action Bronson,check
French Montana,206000000
Shy Glizzy,1350000
Sheck Wes,3700000
Jay Critch,941000
Shy Glizzy,1350000
The Carters,33500000
Casanova,85500000
Uncle Murda,1590000
Nas,1710000000
Don Q,3740000000
Young M.A,1520000000
Logic,651000000
Melii,1670000
N.O.R.E.,13400000
Freeway,116000000
International Special,6190000000
Nicki Minaj,119000000
Dave East,314000000
Fetty Wap,9730000
A$AP Ferg,5860000
Young M.A,1520000000
Bas,877000000
Chaz French,5510000
A$AP Ferg,5860000
Wale,97600000
Nas,1710000000
Melii,1670000
Bobby Shmurda,2370000
French Montana,206000000
Manolo Rose,20600000
Fat Joe,222000000
Young M.A,1520000000
A$AP Rocky,64200000
Casanova,85500000
G4 Boyz,379000
Desiigner,5650000
A$AP Rocky,64200000
Novo Amor,340000000
AVEC,4490000000
Yoke Lore,839000
Tall Heights,140000000
Hollow Coves,1940000
Mt. Joy,87800000
Oliver Hazard,14400000
Little May,5780000000
Little Chief,893000000
The National Parks,511000000
Lord Huron,7050000
Birdtalker,69700
Horse Feathers,46500000
Wilderado,75500
Jade Bird,68800000
The Lumineers,6810000
The Ballroom Thieves,1340000
Stu Larsen,2120000
Family and Friends,5950000000
Dotan,4030000
The East Pointers,23300000
Darlingside,260000
Great Lake Swimmers,9540000
Fleet Foxes,4600000
Little Quirks,13500000
Maggie Rogers,32800000
Joseph,1780000000
Lord Huron,7050000
Nick Mulvey,1050000
Edward Sharpe & The Magnetic Zeros,13400000
Freedom Fry,15900000
Ben Howard,178000000
The Lumineers,6810000
Vance Joy,17900000
The Dead Tongues,19400000
Rayland Baxter,1220000
The Head and the Heart,2670000000
Half Moon Run,167000000
Vance Joy,17900000
Didirri,59500
Dawes,14700000
Frances Cone,10200000
Vance Joy,17900000
Animal Years,4340000000
WILD,2250000000
Lola Marsh,8050000
The Brevet,44500000
Austin Plaine,2030000
Johnnyswim,819000
Cobi,12000000
Tall Heights,140000000
Of Monsters and Men,172000000
Cereus Bright,484000
Fortunate Ones,67000000
Mumford & Sons,27400000
Ben Howard,178000000
Joseph,1780000000
Sylvan Esso,783000
Shook Twins,8100000
BØRNS,4380000
Ruston Kelly,2360000
Family of the Year,7920000000
Twin Forks,24600000
Lewis Del Mar,55300000
Fleet Foxes,4600000
Hozier,20600000
The Head and the Heart,2670000000
First Aid Kit,422000000
The Head and the Heart,2670000000
Trampled by Turtles,1690000
Mumford & Sons,27400000
Caamp,494000
Sufjan Stevens,4230000
Novo Amor,340000000
Beta Radio,214000000
Mipso,164000
Dispatch,202000000
The Brummies,231000
We Banjo 3,63900000
Liz Cooper & the Stampede,37100000
Josiah and the Bonnevilles,39800
Skin & Bones,3350000000
The Milk Carton Kids,24000000
Andrew Combs,13100000
S. Carey,158000000
Sheck Wes,3700000
Lil Mosey,1770000
6ix9ine,20600000
Yung Gravy,1430000
Lil Baby,414000000
Lil Skies,21600000
Juice WRLD,20900000
Lil Mosey,1770000
Trippie Redd,7980000
Jazz Cartier,11100000
Lil Durk,5660000
